Time (Sec);S1;S11;S17;S18;S2;S20;S24;S25;S26;S33;S34;S35;S41;S42;S43;S46;S47;S48;S49;S50;S51;S7;
0.0;19159.9999;19160.0;19160.0;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19160.0;19159.9999;19159.9999;19160.0;19159.9999;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;
60.0;19159.959617599998;19159.74388959997;19159.979408;19159.95677599999;19159.959617599998;19159.95677599999;19159.95677599999;19159.95677599999;19159.979408;19159.95677599999;19159.95677599999;19159.979408;19159.95677599999;19159.95677599999;19159.979408;19159.91374240001;19159.880431999973;19159.880431999973;19159.90119039997;19159.89748159997;19159.89748159997;19159.979408;
120.0000000000001;19159.939426399997;19159.385622399954;19159.9629344;19159.935163999988;19159.909089599987;19159.935163999988;19159.902932799974;19159.90624799998;19159.946460799998;19159.902932799974;19159.902932799974;19159.946460799998;19159.90624799998;19159.935163999988;19159.9546976;19159.79316480003;19159.682604799928;19159.73695039994;19159.776849599937;19159.81035199995;19159.729198399928;19159.9546976;
180.00000000000037;19159.912504799995;19158.93503199992;19159.929987199997;19159.87421679997;19159.861603199985;19159.877531999977;19159.810801599946;19159.855919999973;19159.907335999997;19159.816011199957;19159.852131199965;19159.907335999997;19159.819799999965;19159.906347999982;19159.921750399997;19159.641470400053;19159.458756799875;19159.545641599896;19159.662294399906;19159.642068799905;19159.518691199875;19159.932046399997;
240.00000000000006;19159.88416239999;19158.49451999989;19159.880566399996;19159.78208559994;19159.803971199974;19159.79108399996;19159.718670399918;19159.827103999967;19159.874388799995;19159.72956319994;19159.790710399946;19159.866151999995;19159.769471999956;19159.877531999977;19159.899099199996;19159.493208000076;19159.217790399824;19159.418379199866;19159.536091199872;19159.38456479984;19159.34831679983;19159.907335999997;
300.00967333333284;19159.848142399984;19158.090564799884;19159.841441599994;19159.68227679991;19159.710319199956;19159.74065599995;19159.66786879991;19159.79828799996;19159.851737599995;19159.679235199932;19159.690901599915;19159.827027199994;19159.74065599995;19159.839617599966;19159.882625599996;19159.3573008001;19158.98028799977;19159.320617599842;19159.366924799826;19159.178921599785;19159.2293503998;19159.874388799995;
360.0107626666661;19159.790510399973;19157.671614399882;19159.800257599993;19159.590145599883;19159.62387119994;19159.67581999994;19159.598770399887;19159.769471999956;19159.827027199994;19159.650419199927;19159.598770399887;19159.794079999992;19159.711839999945;19159.81080159996;19159.866151999995;19159.216360000126;19158.782444799723;19159.22426079982;19159.15679519977;19158.96071999973;19159.099667199767;19159.833204799994;
420.0107626666662;19159.747286399965;19157.167609599885;19159.75083679999;19159.498014399855;19159.537423199923;19159.589371999922;19159.50663919986;19159.704635999944;19159.785843199992;19159.585583199914;19159.50663919986;19159.75289599999;19159.647003999933;19159.78009119995;19159.841441599994;19159.046819200157;19158.535827199663;19159.078671999785;19158.959452799718;19158.703215999663;19158.88999039971;19159.794079999992;
480.00967333333244;19159.682450399952;19156.668521599873;19159.72200799999;19159.454790399846;19159.49704079992;19159.546147999914;19159.41450799983;19159.618187999928;19159.73642239999;19159.499135199898;19159.41450799983;19159.70347519999;19159.603779999925;19159.751275199946;19159.818790399993;19158.878880000186;19158.23700319959;19158.942655999756;19158.803732799675;19158.556302399626;19158.628825599644;19159.76319199999;
540.0096733333316;19159.596002399936;19156.226604799853;19159.70553439999;19159.42597439984;19159.47011919992;19159.51733199991;19159.322376799802;19159.53173999991;19159.68700159999;19159.41268719988;19159.371283999822;19159.664350399988;19159.538943999913;19159.689854399927;19159.785843199992;19158.73016000021;19158.013383999536;19158.74690399971;19158.63938719963;19158.477697599603;19158.371321599578;19159.73024479999;
600.0096733333304;19159.555619999934;19155.768990399847;19159.68906079999;19159.397158399835;19159.443197599918;19159.488515999903;19159.230245599774;19159.445291999895;19159.637580799987;19159.369463199873;19159.342467999817;19159.641699199987;19159.452495999896;19159.5977231999;19159.73642239999;19158.576177600236;19157.881028799507;19158.451511999636;19158.524358399598;19158.39056799958;19158.11038559951;19159.70759359999;
660.0096733333277;19159.52680399993;19155.353551999837;19159.664350399988;19159.36834239983;19159.416275999916;19159.42367999989;19159.187021599766;19159.35884399988;19159.598455999985;19159.340647199868;19159.31365199981;19159.625225599986;19159.36604799988;19159.50559199987;19159.68700159999;19158.43638080026;19157.785374399486;19158.156119999563;19158.439091199576;19158.264135999547;19157.907476799457;19159.69111999999;
